model_family,model,feature_set,n_features,accuracy,balanced_accuracy,f1_weighted,roc_auc,confusion_matrix
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_filtered,filtered,31.0,0.7044334975369458,0.7061224489795919,0.7040028936580661,0.7346938775510203,"[[69, 36], [24, 74]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_selected_18,selected_18,18.0,0.7044334975369458,0.7047619047619047,0.7045195848677602,0.7329446064139943,"[[73, 32], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_selected_9,selected_9,9.0,0.7044334975369458,0.7047619047619047,0.7045195848677602,0.7465014577259476,"[[73, 32], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_med_diagnosis_all,med_diagnosis_all,2.0,0.7044334975369458,0.7034013605442176,0.7041169835642926,0.7610301263362488,"[[77, 28], [32, 66]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_selected_6,selected_6,6.0,0.7044334975369458,0.7030612244897959,0.7038717483363582,0.7473275024295434,"[[78, 27], [33, 65]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_all,all,36.0,0.6995073891625616,0.6996598639455782,0.699594926155013,0.7416423712342078,"[[73, 32], [29, 69]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_all,all,36.0,0.6995073891625616,0.6996598639455782,0.699594926155013,0.7342079689018464,"[[73, 32], [29, 69]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_selected_6,selected_6,6.0,0.6995073891625616,0.698299319727891,0.6990683399320673,0.6772594752186589,"[[77, 28], [33, 65]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_selected_18,selected_18,18.0,0.6945812807881774,0.695578231292517,0.6945219876957269,0.7517978620019435,"[[70, 35], [27, 71]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_selected_18,selected_18,18.0,0.6896551724137931,0.6904761904761905,0.6896551724137931,0.747910592808552,"[[70, 35], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_med_diagnosis_all,med_diagnosis_all,2.0,0.6847290640394089,0.6877551020408164,0.6827317335484304,0.7252672497570457,"[[63, 42], [22, 76]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_selected_9,selected_9,9.0,0.6847290640394089,0.6863945578231292,0.6842697532352705,0.6900874635568512,"[[67, 38], [26, 72]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_selected_9,selected_9,9.0,0.6798029556650246,0.680952380952381,0.6796630807275649,0.7487366375121478,"[[68, 37], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_filtered,filtered,31.0,0.6748768472906403,0.6768707482993197,0.6741027445460943,0.7397959183673469,"[[65, 40], [26, 72]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_selected_18,selected_18,18.0,0.6699507389162561,0.6727891156462584,0.6681182481935704,0.7402818270165209,"[[62, 43], [24, 74]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_selected_6,selected_6,6.0,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7377065111758989,"[[60, 45], [23, 75]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_selected_9,selected_9,9.0,0.6502463054187192,0.6534013605442177,0.6477391104754842,0.7391642371234206,"[[59, 46], [25, 73]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_selected_9,selected_9,9.0,0.645320197044335,0.6513605442176871,0.634939238788477,0.7392614188532556,"[[50, 55], [17, 81]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_all,all,36.0,0.645320197044335,0.6503401360544218,0.6383286771753095,0.7316812439261419,"[[53, 52], [20, 78]]"
